R_fighter,B_fighter,Winner
Adrian Yanez,Gustavo Lopez,Red
Trevin Giles,Roman Dolidze,Red
Tai Tuivasa,Harry Hunsucker,Red
Cheyanne Buys,Montserrat Conejo,Blue
Marion Reneau,Macy Chiasson,Blue
Leonardo Santos,Grant Dawson,Blue
Song Kenan,Max Griffin,Blue
Derek Brunson,Kevin Holland,Red
Montel Jackson,Jesse Strader,Red
Bruno Silva,JP Buys,Red
Manel Kape,Matheus Nicolau,Blue
Misha Cirkunov,Ryan Spann,Blue
Leon Edwards,Belal Muhammad,Draw
Charles Jourdain,Marcelo Rojo,Red
Eryk Anders,Darren Stewart,Draw
Angela Hill,Ashley Yoder,Red
Jonathan Martinez,Davey Grant,Blue
Dan Ige,Gavin Tucker,Red
Nasrat Haqparast,Rafa Garcia,Red
Cortney Casey,JJ Aldrich,Blue
Matthew Semelsberger,Jason Witt,Red
Rani Yahya,Ray Rodriguez,Red
Gloria de Paula,Jinh Yu Frey,Blue
Dominick Cruz,Casey Kenney,Red
Song Yadong,Kyler Phillips,Blue
Petr Yan,Aljamain Sterling,Blue
Jan Blachowicz,Israel Adesanya,Red
Thiago Santos,Aleksandar Rakic,Blue
Joseph Benavidez,Askar Askarov,Blue
Amanda Nunes,Megan Anderson,Red
Islam Makhachev,Drew Dober,Red
Tim Elliott,Jordan Espinosa,Red
Livinha Souza,Amanda Lemos,Blue
Rogerio Bontorin,Kai Kara-France,Blue
Uros Medic,Aalon Cruz,Red
Kennedy Nzechukwu,Carlos Ulberg,Red
Sean Brady,Jake Matthews,Red
Mario Bautista,Trevin Jones,Blue
Jairzinho Rozenstruik,Ciryl Gane,Blue
Montana De La Rosa,Mayra Bueno Silva,Draw
Vince Cachero,Ronnie Lawrence,Blue
Alexander Hernandez,Thiago Moises,Blue
Pedro Munhoz,Jimmie Rivera,Red
Alex Caceres,Kevin Croom,Red
Alexis Davis,Sabina Mazo,Red
Nikita Krylov,Magomed Ankalaev,Blue
Dustin Jacoby,Maxim Grishin,Red
Aleksei Oleinik,Chris Daukaus,Blue
Charles Rosa,Darrick Minner,Blue
Phil Hawes,Nassourdine Imavov,Red
Curtis Blaydes,Derrick Lewis,Blue
Eddie Wineland,John Castaneda,Blue
Andrei Arlovski,Tom Aspinall,Blue
Jared Gordon,Danny Chavez,Red
Ketlen Vieira,Yana Kunitskaya,Blue
Aiemann Zahabi,Drako Rodriguez,Red
Serghei Spivac,Jared Vanderaa,Red
Nate Landwehr,Julian Erosa,Blue
Shana Dobson,Casey O'Neill,Blue
Maycee Barber,Alexa Grasso,Blue
Belal Muhammad,Dhiego Lima,Red
Maki Pitolo,Julian Marquez,Blue
Kamaru Usman,Gilbert Burns,Red
Ricky Simon,Brian Kelleher,Red
Kelvin Gastelum,Ian Heinisch,Red
Polyana Viana,Mallory Martin,Red
Rodolfo Vieira,Anthony Hernandez,Blue
Gabe Green,Philip Rowe,Red
Andre Ewell,Chris Gutierrez,Blue
Alexandre Pantoja,Manel Kape,Red
